Name	POS
훼리니아	UNKNOWN
각종	NNG
종류	NNG
쫀득	XR
생	XPN
땅콩	NNG
통째	NNG
새우	NNG
중국	NNP
전통	NNG
빠지	VV
서운	XR
추가	NNG
반찬	NNG
곁들일	VV+ETM
대부분	NNG
라임	NNG
나라	NNG
장어	NNG
베이스	NNG
대나무	NNG
바나나	NNG
어디	NP
려구요	EC
왠	MM
연	NNG
유익	XR
앞	NNG
실로	MAG
재래	NNG
시장	NNG
약재	NNG
곳	NNG
구입	NNG
상자	NNG
지요	EF
찰밥	NNG
한층	MAG
정성	NNG
헝그리	NNP
우먼	NNG
전자레인지	NNG
찜	NNG
기능	NNG
간단	XR
아무래도	MAG
제대로	MAG
전자	NNG
렌지	NNG
서요	EP+EC
애호박	NNG
반달썰기	NNG
돌솥	NNG
담가서	VV+EC
맛없	VA
건져서	VV+EC
겉	NNG
흡수	NNG
으신	EP+ETM
등분	NNG
무친	VV+ETM
무를	VV+ETM
무나물	NNG
탱	MAG
글	NNG
오렌지	NNG
부드러울	VA+ETM
정	NNG
여주	NNG
댝	UNKNOWN
요번	NNG
시래기	NNG
봤	VX+EP
더니	EC
더라고요	EC
닮	VA
짱짱	MAG
시금치	NNG
데칠	VV+ETM
더운물	NNG
다섯	NR
숟갈	NNG
풋내	NNG
베	VV
햇살	NNG
캔디	NNG
떫	VA
십니다	EP+EF
담궈서	VV+EC
하이	IC
쓴	VV+ETM
담그	VV
스푼	NNG
검	VA
주의	NNG
죽인	VV+ETM
들깨	NNG
소다	NNG
버릴	VX+ETM
궜다	UNKNOWN
시든	VV+ETM
살아난	VV+ETM
려다	EC
우둔살	NNG
연하	VA
위해서	VV+EC
콜라	NNG
어떻게	MAG
후추	NNG
드신	VV+EP+ETM
드셔도	VV+EP+EC
미선	NNG
마구	MAG
부수	VV
부숴진	VV+ETM
뿌	VX
팩	NNG
뜨겁	VA
비빈다	VV+EC
모든	MM
이요	JX
걍	UNKNOWN
지나	EC
눌어붙	VV
한술	NNG
소쿠리	NNG
잠길	VV+ETM
사포닌	NNG
땜	NNB
첫물	NNG
아님	MAJ
끓여야	VV+EC
만큼	NNB
압력솥	NNG
명종	NNG
걸릴	VV+ETM
슈	EP+EC
플	VX+ETM
레스	NNP
전라도	NNP
에선	JKB+JX
칼국수	NNG
별미	NNG
계속	MAG
맛난	VA+ETM
반죽	NNG
지름	NNG
팥죽	NNG
별로	MAG
에게	JKB
저어야	VV+EC
아파요	VA+EF
튀	VV
오르	VV
조심	NNG
새알	NNG
겨울날	NNG
사쿠	NNP
떠오르	VV
팥빙수	NNP
활용	NNG
무척	MAG
익반죽	NNG
맞춘	VV+ETM
내린다	VV+EC
한꺼번에	MAG
송	NNP
각자	MAG
독	NNG
배변	NNG
옴아	NNG
모카	NNP
으깬	VV+ETM
오히려	MAJ
망	NNG
주무르	VV
단단	XR
쉬워요	VA+EF
해야지	VV+EC
거즈	NNG
삐져	VV+EC
나와요	VV+EF
둘째	NR
피클	NNG
텁텁	XR
느껴져요	VV+EC+VX+EF
오디	IC
으니깐	EC
여우	NNG
벗겨서	VV+EC
눈	NNG
맵	VA
찬밥	NNG
농도	NNG
맛술	NNG
영	NNG
양면	NNG
부침	NNG
바삭	MAG
님	XSN
에이엠	NNG
떠서	VV+EC
노릇노릇	MAG
지져	VV+EC
어차피	MAG
엄	IC
헝	MAG
힝	MAG
모둠	NNG
케일	NNG
치커리	NNG
비싸	VA
쑝쑝대왕비	UNKNOWN
촛물	NNG
갓	VA
농약	NNG
말끔히	MAG
포항	NNP
섬	NNG
해초	NNG
달달	MAG
헹군다	VV+EF
푸른	VA+ETM
선명	NNG
해져서	XSV+EC+VX+EC
음직	EC
성장기	NNG
헹구	VV
싱겁	VA
으실	EP+ETM
유리	NNG
저희	NP
자연	NNG
및	MAJ
쌈	NNG
덩이	NNBC
흑임자	NNG
니까요	EF
쾨쾨	XR
붉	VA
계열	NNG
예쁠	VA+ETM
삼	NR
나용	NNG
마요네즈	NNG
경험	NNG
왕눈이	NNG
연근	NNG
짭쪼	UNKNOWN
롬	NNG
핫소스	NNP
쌈밥	NNG
뭉쳐서	VV+EC
이뻐요	VA+EF
방울토마토	NNG
다릅니다	VA+EC
남겨	VV+EC
믹	NNG
서기	NNG
둑	NNG
강판	NNG
간다	VX+EF
넉넉	XR
중간	NNG
보충	NNG
통깨	NNG
도날드	NNP
재워둔다	VV+EC+VX+EC
만나	VV+EC
매실	NNG
갖	VV
념	UNKNOWN
재	VV
목이버섯	NNG
상관	NNG
풋고추	NNG
길이	NNG
흙	NNG
아랫부분	NNG
거꾸로	MAG
불순물	NNG
셔	EP+EC
니당	EF
보노	NNP
투명	NNG
최대한	MAG
미르	NNG
깜장	NNG
천사	NNG
싯	NNP
죽순	NNG
빈틈	NNG
녹말가루	NNG
마무리	NNG
비롯	XR
광	XSN
익혀	VV+EC
스며들	VV
쏘	NNP
화살표	NNG
양손	NNG
그렇게	MAG
씻겨	VV+EC
나가	VX
세	MM
맵쌀	NNG
갖가지	NNG
이외	NNG
배일	NNG
으라고	EC
배웠	VV+EP
도구	NNG
분쇄	NNG
트리플	NNP
레인보우	NNP
죽이	VV
봐	VV+EC
모자란	VV+ETM
핑크	NNP
페코	NNP
차가운	VA+ETM
부으면	VV+EC
부시	NNP
조미료	NNG
가쓰오부시	NNP
갈거나	VV+EC
노인	NNG
주로	MAG
씁니다	VV+EC
얼짱	NNP
뚱뚱	NNG
인공	NNG
감	XSN
료	NNG
천연	NNG
이유식	NNP
써서	VV+EC
선생	NNG
부어도	VV+EC
현	MM
올려준다	VV+EC+VX+EC
봄철	NNG
곁들이	VV
핏물	NNG
오메가	NNG
러지	EF
동맥	NNG
경화	NNG
혈전	NNG
촉진	NNG
시킵니다	XSV+EF
아스파라긴산	NNG
정리	NNG
접시	NNG
파랑새	NNG
느타리버섯	NNG
강한	VA+ETM
유부	NNG
납작	XR
노릇	NNG
부친	VV+ETM
유	NNP
뷰	NNP
세트	NNG
그때	NNG
제철	NNG
미쳐	VV+EC
향긋	XR
북어	NNG
잠깐	MAG
가시	NNG
하구	JKB
쫘	MAG
세여	EP+EF
역시	MAJ
황태	NNG
저렴	XR
가격	NNG
몫	NNG
끓여서	VV+EC
국을	NNG
포토	NNG
굵	VA
홍고추	NNG
팽이	NNG
무순	NNG
환상	NNG
궁합	NNG
강할	VA+ETM
국밥	NNG
빠져서	VV+EC
내기	NNP
스	XSN
떄	UNKNOWN
아이비아이	NNG
커	VA+EC
품	NNG
거두	VV
준우	NNG
할머니	NNG
깐	VV+ETM
칵테일	NNG
사발	NNG
횽즈	UNKNOWN
누룽지	NNG
끓여도	VV+EC
어울립니다	VV+EF
푼	VV+ETM
위스키	NNG
내리	VV
검은색	NNG
걸로	NNB+JKB
소보	NNG
파슬리	NNG
만두피	NNG
주먹밥	NNG
방법	NNG
내려	VV+EC
면보	NNG
보로	NNG
힘드	VA
잔멸	NNG
꼬치	NNG
쪽	NNB
내장	NNG
옅	VA
쑤시	VV
금새	MM
째	XSN
마디	NNG
딸려	VV+EC
나옵니다	VV+EF
필	UNT
캣	NNP
생새우	NNG
절구	NNG
띤	VV+ETM
거의	MAG
가능	NNG
내서	NNG
으	EP
싱	NNP
눌러붙	VV
융	NNG
걸죽	XR
빨간색	NNG
초록색	NNG
어우러져	VV+EC
국선	NNG
엑기스	NNG
갖은	MM
녹차	NNG
만득	NNG
마누라	NNG
소량	NNG
초코	NNP
그람	MAJ
젤	MAG
뭉칠	VV+ETM
김칫국	NNG
나오	VV
후리	NNG
케	NNP
묻힌	VV+ETM
그래도	MAJ
가득	MAG
뭍	NNG
혀	XSV+EC
오픈	NNG
하트	NNG
붙여	VV+EC
애플	NNP
껌	NNP
댄다	EC
금	MAJ
똘똘	MAG
기쁨	NNG
짜내	VV
관건	NNG
피그	NNG
뚝딱	MAG
먼	VA+ETM
압착	NNG
샐러드	NNG
래요	EC
카	MAG
놀	VV+ETM
라유	NNG
물장수	NNG
알루미늄	NNG
호일	NNG
깐다	VV+EF
나왔	VV+EP
웰빙	NNP
섞이	VV
도로	MAG
싼다	VV+EC
말리	VV
이쑤시개	NNG
꽂	VV
낳	VV
해두	VV+EC
딱	MAG
술안주	NNG
뚜껑	NNG
덮	VV
굴리	VV
알맞	VA
익혀도	VV+EC
입혀	VV+EC
늘	MAG
가볍	VA
끈끈	XR
피자	NNG
군데군데	NNG
두드려	VV+EC
오그라들	VV
꼬지	NNG
구워낸	VV+EC+VX+ETM
내심	NNG
잣가루	NNG
코스트코	NNP
호주	NNP
샤브샤브	NNP
팝	NNG
덮밥	NNG
내외	NNG
과일	NNG
재우	VV
드러	VV
육질	NNG
흐	IC
딜리	NNP
셧	EP+EP
키위	NNG
죽여	VV+EC
어린이	NNG
한테	JKB
다구	EC
팬더	NNP
당면	NNG
맛볼	VV+ETM
퍽퍽	XR
질겨	VA+EC
소불고기	NNG
예쁜	VA+ETM
가요	NNG
듭니다	UNKNOWN
져	EC+VX+EC
오랜	VA+ETM
사라져요	VV+EC
지저분	XR
토리	NNP
샤	NNP
부샤	NNP
튀어나오	VV
끄	VV
들어갔	VV+EP
보여요	VV+EC
식힌	VV+ETM
간한다	VV+EF
판사	NNG
잉	NNG
손가락	NNG
아삭아삭	MAG
일반	NNG
뿌려준	VV+EC+VX+ETM
배추김치	NNG
겹	NNG
만드셔	VV+EP+EC
쇠	VV
구운	VV+ETM
쿠	MAG
킹	MAG
쌓	VV
웃음보	NNG
나간	VV+ETM
어울려요	VV+EF
별도	NNG
제공	NNG
차조	NNG
까	VV+EC
물질	NNG
포인트	NNG
수삼	NNG
앞부분	NNG
걱정	NNG
앉혀	VV+EC
들이	VV
꿀	NNG
홍	NNG
시기	NNG
과정	NNG
생략	NNG
퍼져요	VV+EF
아오	NNG
파릇	XR
물컹	XR
가쓰오	NNP
브	NNP
우려낸다	VV+EF
겉면	NNG
묻	VV
하얀	VA+ETM
시작	NNG
꺼주	VV
특유	NNG
점성	NNG
끈적	XR
다져도	VV+EC
홍합	NNG
유로	NNG
일본	NNP
나을	VA+ETM
브로	NNP
컬리	NNP
즐기	VV
공상	NNG
한식	NNG
에꾸	IC
유메	NNP
내일	MAG
오늘	MAG
저녁	NNG
살려서	VV+EC
원래	MAG
하얗	VA
천재	NNG
닿	VV
상하	VV
다지기	NNG
작동	NNG
설	VV
손톱	NNG
방망이	NNG
부순다	VV+EC
라도	VCP+EC
옹	NNG
도깨비	NNG
방망	NNG
헤즐	NNP
넛	NNP
에다가	JKB
뽀얗	VA
타지	VV
파랑	NNG
배어들	VV
열무김치	NNG
옛날	NNG
부터	JX
갠	NNG
무치	VV
열무	NNG
버섯볶음	NNG
채우	VV
누린내	NNG
전분	NNG
젓가락	NNG
살려	VV+EC
준답니다	VX+EF
약고추장	NNG
보리밥	NNG
냉면	NNG
국수	NNG
일석이조	NNG
불려야	VV+EC
코	NNG
스메	NNG
틱	XSN
바른	VA+ETM
무화과	NNG
올라오	VV
오미자	NNG
년	NNBC
로렌스	NNP
빌	NNP
짭조름	XR
미네랄	NNG
쏘옥	MAG
손바닥	NNG
절반	NNG
두어	MM
기타	NNG
호박씨	NNG
올린다	VV+EC
고서	EC
오곡밥	NNG
다네요	EF
나올	VV+ETM
성수	NNG
거칠지	VV+EC
둡니다	VX+EF
지상	NNG
자취	NNG
입자	NNG
곡식	NNG
밭쳐서	VV+EC
에스엠	NNG
보통	NNG
저런	MM
오곡	NNG
아라	EC
솔솔	MAG
찰지	VV
문제	NNG
곡물	NNG
조	NNG
박박	MAG
문질러	VV+EC
들여	VV+EC
간편	XR
편하	VA
뚝뚝	MAG
떨어지	VV
즐길	VV+ETM
분정	NNG
생겨서	VV+EC
바글바글	MAG
우렁	NNG
삼겹살	NNG
구이	NNG
곁	NNG
요기	NP
구워서	VV+EC
쵸	NNG
멋	NNG
인생	NNG
틀려	VA+EF
따로따로	MAG
돈	NNG
바다	NNG
쥐	VV
명란	NNG
장아찌	NNG
이쁜	VA+ETM
틀	NNG
욱	NNG
빈	VV+ETM
살작	MAG
베이컨	NNG
파래	VA+EC
제제	NNP
보름달	NNG
방지	NNG
벗긴	VV+ETM
굵은소금	NNG
벗	NNG
신문지	NNG
뿡	MAG
불편	NNG
젼	NNG
강철	NNG
나비	NNG
옆	NNG
새싹	NNG
올려서	VV+EC
드셔	VV+EP+EC
반장	NNG
칼칼	XR
페블비치	NNP
소나기	NNG
당	XSN
뒤적여	VV+EC
끈다	VV+EC
분물	NNG
이카로스	NNG
소복이	MAG
달작지근	XR
햇님	NNG
아들	NNG
절약	NNG
스위트	NNG
콘	NNG
곧바로	MAG
사기	NNG
납	NNG
공기	NNG
밭	NNG
혀서	XSV+EC
대기	NNG
꾹	MAG
누른	VV+ETM
릉	NNG
시키	XSV
음식물	NNG
크레	NNP
갈지	VV+EC
샀	VV+EP
걸려	VV+EC
그런가	VA+EC
슴슴한	VA+ETM
빠져나가	VV
날씨	NNG
더운	VA+ETM
여름	NNG
의외	NNG
강해요	VV+EF
줄여	VV+EC
무도	NNG
애인	NNG
몰래	MAG
뚝배기	NNG
생겨요	VV+EF
짭짤	XR
듬뿍	MAG
개운	XR
드셔야	VV+EP+EC
온갖	MM
균	NNG
시들	XR
얼음물	NNG
살아나	VV
소독	NNG
돼	XSV+EC+VCP
참나물	NNG
고운	VA+ETM
급	NNG
할땐	XSV+ETM+NNG+JX
뭉근	XR
쉬워	VA+EC
검정깨	NNG
축구	NNG
소년	NNG
쪘	VV+EP
그러	VV
콩콩	MAG
무친다	VV+EF
열	VV
닫	VV
익기	NNG
답	XSA
물러져	VV+EC
행구	VV
연한	VA+ETM
질기	VA
사알짝	MAG
크리스티나	NNP
차례	NNG
비닐봉지	NNG
비벼서	VV+EC
반야	NNG
비빔	NNG
자작자작	MAG
타임	NNG
강된장	NNG
자라	VV
피	NNG
뽑	VV
긁	VV
덮개	NNG
토막	NNG
친다	VV+EC
대형	NNG
할인	NNG
특이	NNG
가마	NNG
냉수	NNG
룩	NNG
수고	NNG
부담	NNG
탕	NNG
반반	MAG
희아리	NNG
승표	NNG
고깔	NNG
유발	NNG
먹이	VV
잣죽	NNG
나누	VV
거칠	VA
알맹이	NNG
또한	MAJ
간혹	MAG
스마일	NNP
공	NNG
쥬	VCP+EF
우린	NP+JX
빠른	VA+ETM
원기	NNG
회복	NNG
늦	VA
끓여요	VV+EF
영화	NNG
장색	NNG
따라서	VV+EC
흰색	NNG
전복죽	NNG
주물러서	VV+EC
전복	NNG
숟가락	NNG
굵직	XR
환자	NNG
가실	VV+ETM
충분	XR
잠시	MAG
덮어두	VV
머리	NNG
게딱지	NNG
퍼진	VV+ETM
갈아준다	VV+EF
빠	NNP
넘	MAG
상당히	MAG
틈	NNG
사이	NNG
석회질	NNG
팍	MAG
통후추	NNG
돼지	NNG
봅니다	VX+EC
단향	NNG
낮춰	VV+EC
군	NNG
야채류	NNG
성공	NNG
탄생	NNG
목탁	NNG
염장	NNG
장국	NNG
누라	NNG
즈	XSN
치도	XSV+EC+JX
창공	NNG
싫어하	VV
볶음밥	NNG
빵가루	NNG
묻혀서	VV+EC
튀겨	VV+EC
따스	XR
데우	VV
재미나	VV
완자	NNG
튀기	VV
승	NNG
색감	NNG
튀김옷	NNG
파전	NNG
펜	NNG
시럽	NNG
하심	NNG
번거롭	VA
흑설탕	NNG
늘어붙	VV
절대	MAG
젓	VV
저절로	MAG
돌려주	VV
안정	NNG
튀김	NNG
찹	VA
스타드	NNP
까만	VA+ETM
윤	NNG
부드러워져	VA+EC+VX+EC
해루	NNG
생일상	NNG
배워	VV+EC
작업	NNG
반드시	MAG
발라내	VV
곶감	NNG
좁쌀	NNG
아래	NNG
내려가	VV
흘러	VV+EC
한두	MM
백설	NNG
여요	EF
데운	VV+ETM
와사비	NNG
아찌	NNG
기포	NNG
호이	MAG
고추냉이	NNG
비린	VA+ETM
실버	NNP
부인	NNG
부서지	VV
향도	NNG
생선회	NNG
은근	NNG
씩씩	XR
니깐	EC
염두	NNG
한국인	NNG
입맛	NNG
현주	NNG
완숙	NNG
내려놓	VV
쉬	VV
우니	EC
뭉친	VV+ETM
묻히	VV
띠	NNG
두른다	VV+EC
어찌하	VV
가여	NNG
쎈	VA+ETM
중심	NNG
게맛살	NNG
만다	NNP
비닐	NNG
씌워서	VV+EC
추천	NNG
쁩니다	UNKNOWN
콕	MAG
행군	NNG
유행	NNG
캐릭터	NNG
재밌	VA
집어넣	VV
뺄	VV+ETM
기울이	VV
간단히	MAG
간이	JKB
아기	NNG
조미	NNG
부셔	VV+EC
부숴	VV+EC
짝퉁	NNG
럭셔리	XR
철	NNG
분만	NNG
돌리	VV
벗길	VV+ETM
칼로리	NNG
일단	MAG
이것	NP
깡통	NNG
바꿔	VV+EC
해피	NNG
쿡	MAG
뽄하루	UNKNOWN
고추가	NNG
단호박	NNG
특별	NNG
만드실	VV+EP+ETM
매크로	NNG
짭쪼름한	UNKNOWN
먹통	NNG
더하	VV
위하	VV
짜낸	VV+ETM
빼내	VV
줘야지	VX+EF
마리	NNP
은정	NNG
충무김밥	NNP
심하	VA
삭히	VV
경상도	NNP
꼬들꼬들	MAG
생깁니다	VV+EF
새댁	NNG
액젓	NNG
해둔다	XSV+EC+VX+EC
뉴	NNG
거리	XSV
매	MM
실액	NNG
바쁘	VA
다로	NNP
마담	NNG
베리	NNG
통	NNG
콩가루	NNG
동그랑땡	NNG
내준다	VV+EF
땅	NNG
수북	NNG
콩나물국	NNG
적셔	VV+EC
내놓	VV
이건	NP+JX
장조림	NNG
보글보글	MAG
깨뜨려	VV+EC
플루크	NNG
다만	MAJ
겠죠	VX+EP+EC
뺐	VV+EP
설렁탕	NNG
해줘도	VX+EC+VX+EC
새우젓	NNG
식성	NNG
프린스	NNP
왜	MAG
무밥	NNG
통통	XR
잘못	MAG
이토	MAG
숙주나물	NNG
어우러지	VV
삷	NNG
데워	VV+EC
드레	NNG
망고	NNG
젤리	NNG
행	XSN
토속	NNG
셀	VV+ETM
전기밥솥	NNG
냄	NNG
육류	NNG
히	IC
얼려	VV+EC
어린	VA+ETM
목살	NNG
잡채	NNG
인다	VV+EC
헹궈서	VV+EC
생겨	VV+EC
랗	UNKNOWN
비볐	VV+EP
월	NNG
씬	NNB+JX
투	NR
키운	VV+ETM
눈물	NNG
담가야	VV+EC
뉴질랜드	NNP
안전	NNG
미국	NNP
식신	NNG
찟	IC
사셔서	VV+EP+EC
햇	VV+EP
바짝	MAG
말려	VV+EC
잔	NNG
돌려도	VV+EC
피쉬	NNP
자박	NNG
감칠	VV+ETM
어포	NNG
어릴	VA+ETM
초로	NNG
롱	NNG
그럴	VV+ETM
동량	NNG
훨	MAG
데쳐낸다	VV+EC+VX+EF
곧	VA
처리	NNG
세모	NNG
생강즙	NNG
다짐	NNG
양조간장	NNG
케레스	NNG
코레	NNG
션	EC
손님상	NNG
레이디	NNP
키조개	NNG
감한	VV+ETM
조개	NNG
해감	NNG
시켜야	VV+EC
머위	NNG
취	NNG
씀바귀	NNG
흐른	VV+ETM
풋마늘	NNG
링	NNG
각도	NNG
야들	XR
놈	NNB
태국	NNP
콜레스테롤	NNG
노폐물	NNG
타우린	NNG
천공	NNG
지기	NNG
그만	MAG
튀긴	VV+ETM
굿	NNG
잠	MAG
팅	IC
바보	NNG
풀어져서	VV+EC
중국식	NNP
춧기름	UNKNOWN
재빠르	VA
발효	NNG
플라	NNP
해산물	NNG
향신료	NNG
막힙니다	VV+EC
칠리	NNP
건조	NNG
간격	NNG
멍	MAG
해삼	NNG
기둥	NNG
꺼내	VV+EC
두터운	VA+ETM
생수	NNG
아몬드	NNG
호	NNBC
김건모	NNP
하고	JKB
어울릴	VV+ETM
늙	VV
뭉크	NNP
번거	XR
로울	XSA+ETM
조그맣	VA
편리	NNG
써요	VV+EC
때로	MAG
멥쌀가루	NNG
겨우	MAG
뭉쳐질	VV+EC+VX+ETM
달무리	NNG
가미	NNG
떠놓	VV
탄	VV+ETM
검은콩	NNG
율	XSN
갈아주	VV
밭친다	VV+EF
고운체	NNG
받치	VV
보드랍	VA
거든	EF
저으며	VV+EC
부어야	VV+EC
저어	IC
주세요	NNP
컷	NNP
슬로우	NNP
쿠커	NNP
뜨거워지	VV
확	MAG
서서히	MAG
튑니다	UNKNOWN
옷	NNG
얼굴	NNG
넘치	VV
알로에	NNP
매쉬	NNG
포테이토	NNG
셔요	EC
진영	NNG
수프	NNG
미사	NNG
려고	EC
노력	NNG
까진	JX+JX
안젤리나	NNP
쫄	VV+ETM
바람	NNG
휘핑크림	NNG
생크림	NNG
아닐까	VCN+EC
석	MM
뭉근히	MAG
수입	NNG
걸른	VV+ETM
브로콜리	NNG
비타민	NNG
로사	NNG
걸죽하	VA
양갱	NNG
들어간	VV+ETM
부숴서	VV+EC
크루통	NNG
띄운다	VV+EC
식빵	NNG
아무	MM
구우면	VV+EC
줄일	VV+ETM
긁어내	VV
그게	NP+JKS
도깨비방망이	NNG
돌린	VV+ETM
굵기	NNG
무시라	VA+EF
예	IC
가열	NNG
써야	VV+EC
아예	MAG
블랜더	NNG
고구마	NNG
아가	NNG
변비	NNG
야미	NNG
제일	MAG
슝	MAG
임	VCP+ETN
여사	NNG
석류	NNG
액	NNG
가슴	NNG
잡힐	VV+ETM
자극	NNG
물러	VA+EC
푼다	VV+EC
루가	NNG
브라운	NNP
랍니다	VCP+EC
싱거울	VA+ETM
어울어지	VV
티라미수	NNP
화이트소스	NNG
꾼	XSN
자리	NNG
황금	NNG
스프	NNG
력	NNG
멘지스	NNP
왠만	XR
진한	VA+ETM
희	NNG
핑	NNG
천천히	MAG
냄새나	VV
드라구요	EF
동이	NNG
사태	NNG
빨간	VA+ETM
무로	NNG
쫄리	VV
샐러리	NNP
슷썬다	UNKNOWN
토마토	NNG
페이스트	NNG
신맛	NNG
다니깐요	EF
케첩	NNG
홀	NNP
우스터소스	NNG
월계수	NNG
샤워	NNG
천지	NNG
무용	NNG
메주콩	NNG
반나절	NNG
알레르기	NNG
개월	NNBC
아토피	NNG
끓어오를	VV+ETM
넘칠	VV+ETM
지켜보	VV
탄력	NNG
메주	NNG
비리	VA
졌	VX+EP
체크	NNG
정사각형	NNG
걸르	VV
용이	XR
말려서	VV+EC
시각	NNG
팽	NNG
덜할	VA+ETM
어떤	MM
녹여서	VV+EC
균형	NNG
끊여	VV+EC
궈	NNP
방심	NNG
버려요	EC+VX+EF
저으	VV+EP
풍부	XR
피부	NNG
몽글몽글	MAG
끕니다	VV+EF
반달	NNG
형	XSN
주위	NNG
닭발	NNG
백숙	NNG
삼계탕	NNG
모아	VV+EC
네여	EF
주사위	NNG
베어울프	NNG
녹이	VV
는데요	EC
차라리	MAG
데울	VV+ETM
먹음직	XR
스러운	XSA+ETM
함게	MAG
베이비	NNG
구할	VV+ETM
밖에	JX
마카로니	NNG
어떨까	VA+EC
